Location in well All,Location in well Heatshock,Location in well Dark flashes,Location in well Morning 2,Location in well Morning transition 2,Location in well Night 2b,Location in well Night stimulation,Location in well Night 2,Location in well Night transition,Location in well Evening,Location in well Taps,Location in well Day baseline,Location in well Morning stimulation,Location in well Morning transition 1,Location in well Night 1,Features of movement All,Features of movement Heatshock,Features of movement Dark flashes,Features of movement Morning 2,Features of movement Morning transition 2,Features of movement Night 2b,Features of movement Night stimulation,Features of movement Night 2,Features of movement Night transition,Features of movement Evening,Features of movement Taps,Features of movement Day baseline,Features of movement Morning stimulation,Features of movement Morning transition 1,Features of movement Night 1,Frequency of movement All,Frequency of movement Heatshock,Frequency of movement Dark flashes,Frequency of movement Morning 2,Frequency of movement Morning transition 2,Frequency of movement Night 2b,Frequency of movement Night stimulation,Frequency of movement Night 2,Frequency of movement Night transition,Frequency of movement Evening,Frequency of movement Taps,Frequency of movement Day baseline,Frequency of movement Morning stimulation,Frequency of movement Morning transition 1,Frequency of movement Night 1
bag5,0.026346978,0.293875,0.0735,0.018285714,0.347978964,0.014,0.1625,-0.51425,-0.420410918,0.16525,0.297625,0.08625,0.1515,-0.409433825,0.02525,0.295940909,0.002,0.294428571,0.236,0.396595143,-0.301071429,0.190714286,0.351285714,0.502138933,0.4615,0.387714286,0.295714286,0.0215,0.55920266,-0.489714286,0.308457278,0.349666667,0.398583333,0.380916667,0.282696902,0.26125,0.21375,0.245583333,0.410900746,0.365583333,0.72025,-0.671916667,-0.023,0.417628199,-0.4095
bcl11b,-0.007218615,-0.0188,-0.00375,-0.0065,0.010871342,-0.196125,0.530875,-0.104,-0.248830396,-0.003166667,-0.00775,-0.023333333,0.001666667,-0.007693063,-0.1465,0.006813425,0.006,0.001,0.008,0.29641541,-0.296714286,0.0176,-0.0116,0.028754245,0.003555556,0.004777778,0.0015,-0.009833333,0.413225477,0.0105,0.000492605,0.001625,0.002666667,0.002,0.015174817,0.0172,0.001,0.015,0.008536597,0.003181818,0.0035,0.001166667,0.008428571,0.24381218,0.02
c10orf32,-0.349547637,-0.576625,0.17125,-0.436625,-0.470283187,0.531,-0.273,-0.137625,-0.415338723,-0.364625,0.53425,0.107875,-0.296,-0.022857686,-0.0172,0.016298247,0.014666667,0.0095,0.385857143,-0.363895646,0.341214286,0.287571429,0.335357143,0.567175354,0.017571429,0.195214286,0.0112,0.01925,-0.008999706,0.285571429,-0.304597865,0.0186,-0.017166667,0.489833333,-0.372982377,0.3135,-0.41925,0.0015,0.576119258,-0.294333333,-0.407916667,-0.294666667,-0.473333333,0.13831266,-0.017833333
c11orf87,0.766914004,-0.4985,-0.505125,0.731625,-0.540219133,0.720125,-0.539125,-0.759625,-0.563048549,0.785375,-0.915625,-0.920375,-0.374375,-0.729779274,0.64875,0.392880286,0.5775,0.479357143,-0.361642857,0.461943444,-0.379857143,0.478785714,-0.549571429,0.687958277,-0.403,-0.399142857,-0.464071429,-0.01975,-0.426052259,-0.627285714,0.478928554,-0.593666667,0.379666667,0.335333333,0.233078188,0.424083333,0.133333333,0.48475,0.503180428,-0.67725,0.5605,0.279333333,0.003222222,0.017432255,0.405583333
c12orf65,0.721596205,0.51975,0.4195,-0.6605,0.566090885,-0.25125,-0.595125,0.49275,0.674628005,0.520875,0.405375,0.4835,-0.6845,0.640978785,0.65925,0.840694678,0.439785714,0.538071429,-0.542928571,-0.768726632,-0.495142857,-0.486285714,-0.700357143,0.606118824,0.499642857,-0.5625,-0.267285714,-0.509785714,-0.472642723,0.676214286,-0.372435194,-0.01775,-0.530166667,-0.492083333,-0.326147352,-0.23125,-0.590333333,0.336,0.610738008,-0.004666667,0.612,0.742583333,-0.823166667,-0.515247897,-0.025
c2orf69,-0.116458346,0.490875,0.566,-0.03375,-0.015922975,-0.19725,0.12775,-0.220875,-0.226168282,0.308625,0.006375,-0.19825,-0.30675,-0.11097115,-0.022142857,0.027849856,0.00175,0.0175,0.014833333,0.51428318,-0.01075,-0.007833333,-0.337285714,-0.344871312,0.288571429,-0.399571429,0.314285714,-0.0255,0.393231733,0.021555556,0.371808503,-0.0315,-0.26775,0.234416667,-0.247532134,-0.536583333,0.295666667,0.002333333,0.018909261,-0.035,0.465,0.0206,0.338333333,0.02825,0.005875
c2orf82,-0.233087237,-0.643125,-0.268,-0.6975,-0.366459724,0.54025,-0.252125,-0.348125,0.376622629,-0.339375,-0.22925,-0.018625,-0.3355,-0.48261725,-0.01075,0.273769118,0.263857143,-0.358,-0.3915,-0.008610327,0.419285714,0.371785714,0.444,0.545633317,-0.013333333,-0.295642857,0.299214286,0.03175,-0.384614927,0.00625,-0.040817826,-0.332,-0.506833333,-0.576416667,-0.258117906,-0.368166667,-0.451666667,-0.008125,-0.50930218,-0.1855,-0.339583333,-0.495416667,-0.346666667,-0.674224815,-0.498416667
ca8,0.169088231,-0.46625,0.311875,0.417,0.380738341,0.256375,0.506625,0.50725,-0.365957491,0.125625,0.02075,0.157375,0.189625,0.283183047,0.23775,-0.206616685,-0.263928571,-0.156142857,-0.306714286,-0.384916343,-0.423428571,0.296214286,0.401857143,0.383711435,-0.405714286,-0.342214286,-0.02475,-0.022333333,-0.406607286,-0.431857143,0.621887292,-0.427583333,-0.514083333,0.489916667,0.286468309,-0.334583333,0.468833333,-0.0045,-0.381763371,-0.306083333,-0.114416667,0.1675,0.008142857,0.019514886,0.293166667
cacna1c,-0.026640387,-0.48775,-0.17275,-0.566625,-0.21516197,-0.014666667,-0.019142857,-0.134375,-0.358223167,-0.242375,-0.003875,-0.001,-0.003375,-0.001,-0.006625,-0.013336282,0.286928571,0.01975,0.03375,0.372306771,-0.01525,-0.0125,0.236642857,-0.006728417,0.25,0.0212,0.359642857,-0.3075,0.023848892,-0.006,-0.004991903,-0.0025,-0.0053,-0.004428571,-0.010306568,-0.0314,-0.02475,0.409,-0.001,-0.017428571,-0.0275,0.264833333,-0.02,-0.003788255,-0.0064
cacna1i,0.322568684,-0.0248,0.215875,-0.211625,0.027269865,-0.306375,0.01475,0.24175,0.104448959,-0.255375,0.368625,0.3915,-0.297375,0.247579202,0.0025,0.461589319,0.007,0.03275,0.01825,0.4429422,0.00125,0.4895,0.475142857,0.501048552,0.201928571,0.01525,0.350142857,0.340714286,-0.451103451,-0.0205,-0.267206991,0.242833333,-0.0195,-0.395416667,0.294039788,-0.229333333,-0.310166667,-0.191,-0.317369868,-0.02575,0.600083333,-0.37325,-0.326666667,-0.385162789,0.40275
cacnb2,0.018192216,0.21925,0.022375,0.0015,0.016081521,0.0066,-0.00225,-0.003714286,0.01125,0.006142857,0.0225,0.01275,0.276875,-0.0155,0.016666667,0.012569743,0.0124,0.007666667,0.0194,-0.395778232,0.009375,0.009,0.0084,-0.305238218,0.330071429,0.130357143,-0.01025,-0.415571429,0.016670912,0.0045,0.29069738,-0.008833333,0.013,0.437666667,0.005,-0.017666667,-0.0015,-0.0025,-0.003486776,-0.01175,-0.010333333,0.018,0.265583333,0.004852733,0.009833333
chrm4,0.018443217,0.009,0.259625,0.111375,-0.225012972,0.019,0.212875,-0.0128,-0.316960415,0.007833333,0.001125,-0.0165,0.0085,0.288914156,-0.128625,-0.018638502,0.255857143,0.018,-0.017666667,-0.237691241,-0.187857143,-0.0112,0.273642857,0.398377724,0.010166667,0.01775,-0.0015,-0.012857143,-0.007337334,-0.0134,0.030697341,-0.01,0.0245,0.029833333,0.012060639,0.1825,0.014888889,0.0238,0.0091737,0.019625,0.004555556,0.006,0.005625,0.032914399,0.0024
chrna5,0.146914119,0.250875,0.1695,0.122375,0.57222672,0.510125,0.1985,0.473625,0.455005403,0.34575,0.03475,0.074375,0.12075,0.00979583,0.67925,0.272731243,0.379214286,0.02775,0.390571429,0.308214898,0.461928571,0.3255,0.269357143,0.011028967,-0.281428571,-0.389428571,-0.424071429,0.284857143,-0.245923084,0.024285714,0.47214846,0.500083333,0.445333333,-0.495916667,0.470129152,0.274,0.26275,0.028333333,0.453746207,0.0168,0.555083333,-0.022625,-0.0146,0.026447941,0.311833333
chst12,-0.309817998,-0.437,-0.32675,-0.011,-0.250959828,-0.02175,0.1105,0.015,-0.283958621,0.0035,-0.100625,0.01175,0.157875,0.265015998,0.021,0.171443799,0.019333333,0.0202,0.019,0.31820819,0.016444444,-0.021,-0.392428571,0.230769569,0.320357143,0.312428571,0.352642857,0.304642857,0.030550843,-0.0066,0.30681851,0.007833333,0.236833333,0.35325,0.269030622,0.0078,0.0275,0.009857143,0.010227815,0.02125,-0.311583333,0.01175,-0.0186,-0.026837779,0.337833333
ckb,-0.033894854,0.403,-0.25525,-0.21725,0.333888899,-0.266833333,0.01775,0.416625,0.380864211,0.431625,0.01225,-0.346375,-0.287,0.208560219,0.264625,0.476428588,0.4525,0.388857143,-0.0104,0.022856928,0.327928571,-0.341,-0.371785714,0.392449855,0.474785714,0.467285714,-0.397285714,0.0107,0.012605995,-0.523285714,-0.028511462,0.362166667,-0.001666667,-0.02125,-0.300797947,-0.4365,-0.001333333,0.252833333,-0.350336491,-0.3905,0.02825,0.1585,-0.156333333,0.362330565,0.004
clcn3,-0.310842933,-0.235,-0.519,-0.385375,-0.00392011,0.266625,-0.00275,0.4795,0.337352711,0.02625,-0.006375,-0.0235,-0.016666667,-0.009061047,0.23625,0.009493209,-0.251357143,0.0061,0.016714286,0.016620945,0.411642857,0.006,-0.318714286,-0.446220895,0.006222222,0.0016,0.004333333,0.0115,0.004667814,0.0035,-0.001877085,-0.0105,-0.003875,-0.007090909,-0.013645682,0.0245,-0.01075,-0.205416667,-0.016488306,-0.005857143,-0.0015,-0.009,-0.001,-0.010834292,0.003166667
