Location in well All,Location in well Heatshock,Location in well Dark flashes,Location in well Morning 2,Location in well Morning transition 2,Location in well Night 2b,Location in well Night stimulation,Location in well Night 2,Location in well Night transition,Location in well Evening,Location in well Taps,Location in well Day baseline,Location in well Morning stimulation,Location in well Morning transition 1,Location in well Night 1,Features of movement All,Features of movement Heatshock,Features of movement Dark flashes,Features of movement Morning 2,Features of movement Morning transition 2,Features of movement Night 2b,Features of movement Night stimulation,Features of movement Night 2,Features of movement Night transition,Features of movement Evening,Features of movement Taps,Features of movement Day baseline,Features of movement Morning stimulation,Features of movement Morning transition 1,Features of movement Night 1,Frequency of movement All,Frequency of movement Heatshock,Frequency of movement Dark flashes,Frequency of movement Morning 2,Frequency of movement Morning transition 2,Frequency of movement Night 2b,Frequency of movement Night stimulation,Frequency of movement Night 2,Frequency of movement Night transition,Frequency of movement Evening,Frequency of movement Taps,Frequency of movement Day baseline,Frequency of movement Morning stimulation,Frequency of movement Morning transition 1,Frequency of movement Night 1
ep300,-0.007955546,-0.092125,-0.009625,0.0065,-0.028722635,0.002142857,0.01175,-0.02225,-0.01511457,-0.007875,-0.0035,-0.0035,-0.018,-0.09657622,-0.004571429,0.023047325,0.011,0.028,0.01125,0.290333344,0.01975,0.00375,-0.216857143,0.36107297,0.289571429,0.227357143,0.01375,0.031,0.015,0.0228,0.02165574,0.432666667,0.013555556,0.236333333,-0.381533217,0.246166667,0.002444444,0.0025,0.019,0.006428571,0.0275,0.014166667,0.0104,0.001333333,0.00225
epc2,0.761204868,-0.439125,0.643875,-0.6595,0.631213853,0.558125,0.517625,0.744125,-0.422317604,0.395625,0.490125,-0.564125,-0.39375,-0.434584367,0.785,-0.442387934,-0.516142857,-0.422785714,-0.403214286,-0.527742304,0.395785714,0.393714286,0.418857143,0.541086433,-0.465285714,-0.349285714,-0.454214286,0.331571429,0.626284648,0.442642857,0.498457408,0.488916667,-0.461833333,-0.459666667,0.515425721,0.421583333,0.522833333,0.559583333,0.508148955,-0.81125,-0.332416667,-0.0166,-0.22225,-0.021,0.030833333
fam5b,0.007757205,0.177375,0.020875,0.21775,0.353005988,0.527,0.405625,-0.56725,0.278895016,0.010857143,0.0755,0.003625,0.108,0.66023577,0.61675,0.011738714,-0.024,-0.0142,-0.004571429,-0.009426591,-0.0068,-0.04175,0.387,0.457426601,0.243857143,-0.01675,-0.0332,-0.0076,-0.415916062,0.0184,-0.304448445,0.0075,0.520833333,-0.0274,-0.417053132,0.018,-0.307833333,-0.2185,0.419422595,-0.001666667,-0.380083333,-0.017666667,-0.0135,-0.380159706,0.314166667
fes,0.116397996,0.299875,0.273125,0.277,0.276195317,0.377,0.019857143,0.11075,-0.61962323,0.1905,0.399125,0.1575,-0.122625,0.339679162,0.421,0.414668077,-0.442928571,0.01475,0.460857143,-0.530141999,0.456285714,0.382285714,0.4655,0.448645937,0.00275,0.0215,0.541071429,0.0202,-0.416697556,0.534571429,-0.242148304,0.510416667,-0.401333333,-0.40425,-0.124353695,-0.016,-0.304666667,0.365416667,-0.287755463,-0.004571429,-0.024,-0.025166667,-0.293416667,-0.436744306,0.015833333
foxg1,0.000298822,0.001,0.001,0.001,0.019001763,0.006,0.001,0.00125,0.007280116,0.001,0.001,0.001,0.261625,0.028043869,-0.008571429,0.018903257,0.001,0.0041,0.001,-0.410156061,0.009,0.0134,0.001,-0.433168017,0.001,0.001,-0.006333333,0.002777778,0.345494173,0.0224,-0.010691038,-0.001166667,-0.002571429,-0.0037,-0.323218497,0.003125,0.0275,0.291833333,-0.005,-0.006142857,-0.0062,-0.436583333,0.15225,-0.406122065,-0.2245
foxg1het,0.491903666,0.48075,0.763625,0.757375,-0.703556588,0.4905,-0.596875,-0.51625,0.105109343,0.56725,0.315875,0.6435,-0.715375,0.570860782,0.737125,-0.015317347,-0.005,-0.00625,-0.021714286,-0.016118586,-0.439071429,0.375357143,0.477,-0.256897529,-0.0035,-0.292071429,-0.266714286,0.017,0.016987234,-0.01925,-0.014985097,-0.616333333,-0.209083333,-0.008571429,-0.015794246,-0.0017,-0.004111111,-0.322916667,-0.403037185,-0.006125,-0.623083333,-0.270666667,-0.007,-0.009418256,0.0132
fpgt,-0.130331646,-0.361875,-0.076875,-0.73675,-0.151743631,-0.233,-0.33975,-0.145125,-0.413573608,-0.24025,-0.198875,-0.162625,-0.0188,-0.359790521,-0.01225,0.014471189,0.014,0.266071429,0.009444444,0.011605576,-0.015,-0.024,-0.234285714,0.4176522,0.198928571,-0.229285714,0.022,0.00975,0.008266397,0.297857143,-0.00745453,0.4905,-0.004,-0.008272727,-0.007688124,0.0048,-0.008111111,-0.001,-0.004845168,-0.004625,-0.343,-0.25125,-0.00975,-0.001155043,0.231166667
ftcdnl1,0.718569336,0.64,0.115375,0.339125,-0.166524882,0.2635,-0.50375,-0.136,-0.476884801,0.257375,0.76375,-0.514125,-0.215875,0.39298926,-0.498,0.385961571,0.584285714,0.449785714,-0.460428571,0.451967967,0.5855,0.341,0.3105,0.520493189,0.004,0.294571429,0.01275,0.338142857,0.464710659,0.0125,-0.371090531,0.371833333,0.374166667,0.44475,-0.35559161,0.485166667,-0.388583333,0.41375,0.280420636,-0.012,0.462833333,-0.006125,0.011555556,0.454013231,-0.309916667
fut9a,-0.75389436,0.798875,-0.394875,-0.58525,0.650058061,-0.56825,0.6295,-0.537125,0.673967729,0.753375,0.787875,0.643875,-0.501375,-0.627552376,-0.6525,0.408069203,0.587142857,0.3975,0.617785714,0.630402601,0.427,0.466,0.273428571,0.501484622,0.534571429,-0.4005,0.450214286,0.410428571,0.312837971,0.594642857,0.367588623,0.471166667,0.293333333,0.2755,-0.755925149,-0.737083333,0.5895,0.412583333,0.391208178,0.26075,0.40075,0.422583333,-0.572666667,-0.733942496,-0.344666667
fxr1,0.177951272,0.544875,0.08675,0.404625,0.386550231,0.461875,0.33325,-0.56925,0.553031989,0.149,0.0212,0.6415,0.185625,0.387654988,0.191125,-0.028123496,0.282428571,0.021,0.341928571,0.273826002,0.343214286,0.314357143,0.496357143,0.379448062,0.525214286,-0.01275,-0.338571429,-0.229071429,-0.551217323,-0.342071429,0.461745609,-0.648916667,-0.022333333,-0.0342,-0.483632043,-0.385166667,0.299666667,-0.436,-0.487070597,-0.01925,-0.431916667,-0.592166667,0.510666667,-0.370214673,0.480166667
galnt10,-0.202744293,-0.74025,-0.276,0.612375,-0.428045645,-0.2485,-0.187125,-0.27675,-0.392166541,-0.146,0.39075,0.519625,0.522,-0.545070717,-0.017,-0.670410093,-0.389285714,-0.610571429,-0.385857143,-0.646431098,-0.340428571,-0.5765,-0.372214286,-0.672292592,-0.785285714,-0.465714286,-0.437214286,0.473357143,-0.701477418,0.4775,-0.607402325,-0.375083333,0.522166667,-0.608583333,-0.637061497,-0.3575,-0.271,-0.338583333,-0.684305756,0.652083333,-0.459166667,-0.557333333,-0.606916667,0.281490276,0.422166667
gatad2a,-0.217988589,0.59025,0.272625,0.016333333,0.520957621,-0.20675,-0.00925,-0.31975,-0.313752758,-0.48,-0.216375,0.6765,-0.032,0.141333068,-0.090625,-0.320079488,0.432071429,-0.426857143,-0.277857143,-0.411363819,-0.412571429,-0.01075,-0.412,-0.475369346,0.424071429,0.491428571,0.500357143,0.02,-0.437857647,0.5505,-0.01690862,-0.4645,-0.018333333,-0.005555556,-0.013552733,-0.02,-0.016285714,-0.0098,-0.02025,-0.015,-0.521083333,-0.245,-0.016833333,-0.009919303,-0.0045
gigyf2,-0.30727833,-0.001,0.66775,0.288,-0.199408053,-0.403375,-0.325625,-0.4995,-0.363862227,-0.2475,0.13175,-0.180375,0.325,0.362503967,0.577,-0.001274236,0.01625,0.016125,-0.013833333,-0.382612361,-0.013857143,-0.0085,0.002833333,-0.010656038,0.0142,0.314928571,-0.0132,0.004,0.356322069,-0.0085,0.00310427,0.00125,0.003857143,-0.002777778,0.416530934,-0.244,0.002,0.0256,0.0015,0.006555556,-0.0155,0.2715,-0.010875,-0.005318809,0.003875
glt8d1,0.275412683,0.496,0.2505,0.065,0.345817825,0.493375,0.203375,0.533125,0.145233635,0.424125,0.094375,0.491,0.332125,0.011954401,0.344125,-0.435973449,-0.358357143,-0.430357143,-0.490928571,0.380679523,0.481928571,-0.4455,-0.454,-0.310836602,0.379357143,0.399857143,0.2945,0.0165,-0.299355782,-0.421714286,-0.315279373,-0.02125,-0.287083333,-0.0204,-0.149818035,-0.499,-0.486916667,-0.514416667,-0.432716873,-0.276583333,-0.207416667,-0.438,-0.220583333,0.560486119,0.285833333
gpm6a,0.027007167,0.026,0.145125,0.013,0.252915916,0.014666667,0.214375,0.19175,0.375591116,0.008333333,0.013833333,0.0215,0.199,0.273354532,0.0185,0.318807794,0.005,0.009166667,0.0045,-0.305323151,-0.02725,0.356142857,0.370428571,0.329798089,0.315785714,0.020333333,-0.02375,0.009222222,-0.031873843,-0.0282,-0.312293105,-0.010857143,0.193583333,0.0048,0.202604324,-0.247083333,-0.0015,-0.0255,-0.003,-0.0095,-0.0234,-0.0224,-0.004333333,-0.019932552,-0.017285714
gramd1b,0.031408184,0.299625,0.011,0.111875,0.238814948,-0.374875,0.016,0.395875,0.331371282,-0.29325,0.024875,0.092,0.1255,-0.223214867,0.394,0.023345783,0.011166667,0.008,-0.302357143,-0.360646396,-0.0262,-0.422571429,0.323571429,-0.390904903,0.0162,-0.003714286,-0.0172,-0.014555556,0.42481058,-0.233285714,0.007932305,0.001285714,0.007777778,-0.014,-0.348847097,0.238416667,0.17125,-0.006,-0.310478478,0.00175,0.0225,0.0175,-0.175083333,-0.264816626,-0.015833333
gria1,-0.314202283,0.141875,-0.308625,0.070125,-0.324001933,-0.270875,-0.1235,-0.228625,0.364408733,0.2885,0.01925,-0.232,0.0162,0.327745515,0.404625,-0.343387246,-0.401,-0.279571429,0.01325,0.398280054,0.283857143,0.0035,0.364142857,0.374416442,0.306571429,-0.269571429,0.3005,-0.015333333,-0.304748421,-0.0044,0.175490739,-0.002166667,0.003285714,-0.2715,0.025650634,0.016428571,0.0145,0.014,0.402695225,0.0145,-0.0144,0.005,0.020166667,0.343685165,0.001142857
grin2a,0.011929799,0.013428571,0.009666667,0.0365,0.010155058,0.003571429,0.2525,0.011,0.010549312,0.001625,0.007,0.0665,0.03075,0.026099117,-0.129,-0.014788045,-0.010833333,-0.00625,0.0115,-0.025441291,-0.039833333,0.422071429,-0.0088,-0.335285409,-0.01325,-0.0045,0.218714286,-0.0315,-0.014081514,0.01225,0.33937269,0.006142857,0.0215,0.353416667,0.00575,-0.0075,0.0096,0.0105,-0.025,0.399583333,0.255416667,0.009555556,0.0085,0.01475,0.004428571
grm3,-0.111027048,-0.01075,-0.082625,0.491125,-0.318892199,-0.2925,-0.00875,-0.2235,-0.143579952,-0.064625,-0.027142857,-0.02475,-0.595375,-0.616579717,-0.334,0.390668879,0.2615,0.02975,0.412785714,0.405662054,-0.358928571,-0.332642857,-0.312285714,-0.46995181,-0.417357143,-0.0045,0.019,0.3375,-0.023563992,-0.473714286,-0.329014025,-0.458,0.1485,0.346666667,-0.442683887,0.249916667,0.414833333,0.313166667,-0.311655238,-0.353416667,0.562333333,0.3375,0.308916667,0.014,0.3035
gtdc1,-0.681221653,0.0178,-0.420625,-0.67025,-0.731844318,-0.437125,-0.241375,-0.6595,0.71479005,-0.392875,0.4035,0.108375,-0.809625,0.609552557,-0.488125,-0.502782372,0.591285714,-0.605357143,-0.459428571,-0.568586805,-0.3625,-0.4985,-0.598142857,0.414773341,0.591928571,-0.0246,-0.359785714,-0.545857143,0.481349624,-0.017,0.475859542,-0.675166667,0.41875,0.314333333,0.214291499,0.389,0.638916667,0.55175,-0.586014757,0.429083333,0.487416667,-0.665083333,0.415583333,0.373229863,-0.371916667
hapln4,0.155186447,0.441625,0.12575,0.01175,0.371811634,0.7045,0.31275,0.619,0.5015709,0.213375,0.40325,0.174875,0.55775,0.311931461,0.377875,0.647012712,0.533285714,0.410214286,-0.561285714,0.510176568,0.392714286,0.467857143,0.401571429,0.459744334,0.628571429,-0.478071429,0.536571429,-0.4455,0.590886293,0.493857143,-0.430170835,-0.011666667,-0.305833333,-0.224583333,-0.543724151,-0.377916667,0.57575,-0.0305,-0.518801667,0.304333333,0.382416667,0.0238,0.28025,-0.410364692,-0.37975
hcn1,-0.011342845,-0.463625,-0.132125,-0.087625,-0.0015,-0.33925,-0.009,-0.001,-0.00752287,-0.001,-0.007625,-0.00325,-0.00375,-0.01828247,-0.381125,0.438071209,0.005555556,0.011875,0.006777778,0.538909233,-0.309642857,-0.0144,0.362071429,-0.419446222,0.2935,0.00525,0.0036,0.0312,0.010566995,-0.261428571,-0.013948813,-0.525083333,-0.006428571,-0.00275,-0.013274181,-0.208833333,-0.01,-0.00675,-0.004056735,-0.02375,-0.0114,-0.018,-0.005875,-0.019141392,0.534083333
immp2l,0.433015242,-0.377375,-0.3555,0.467375,0.0035,0.2765,0.0155,0.568875,0.533930248,0.118875,-0.4075,0.407875,-0.549375,0.29905199,-0.334125,-0.415396858,0.00925,-0.374285714,-0.451285714,0.318157289,-0.439642857,-0.529285714,-0.586785714,-0.529069278,0.307428571,0.593571429,0.025,-0.354571429,0.489557467,0.608785714,0.429507355,0.496,0.582416667,0.574166667,-0.366436084,0.60725,-0.442583333,-0.367,0.608971989,0.342666667,0.03725,0.03275,0.0105,0.329610291,0.41825
ina,-0.443579856,0.064875,-0.34775,-0.238375,0.524551486,0.017428571,0.024666667,0.134,0.277624546,0.32025,-0.151625,-0.33225,-0.240625,-0.235768736,0.200875,-0.548663386,0.404428571,-0.428071429,0.315642857,0.389936868,0.496,0.438285714,-0.613714286,-0.322827861,-0.395714286,-0.02525,-0.446428571,0.363642857,0.325195018,-0.0315,0.462351868,0.389916667,-0.547333333,-0.413333333,-0.033896607,-0.300833333,-0.456916667,-0.380333333,-0.507859549,0.440166667,0.305583333,0.505666667,-0.011888889,0.274282671,0.343416667
ireb2,-0.144674096,-0.006,-0.01125,-0.300625,-0.107673951,-0.01375,-0.225375,-0.121625,-0.184624216,0.002,0.004714286,0.1955,0.351125,-0.596655476,-0.0665,0.030738526,0.007571429,-0.001,0.0055,-0.020872717,-0.310785714,0.336785714,0.474714286,0.387257099,-0.01475,-0.3415,0.519928571,0.01225,0.224782663,0.341571429,-0.260021904,-0.009833333,0.00375,-0.38025,-0.211312691,0.001111111,0.162083333,0.00625,-0.0055,-0.0305,-0.150166667,-0.306833333,-0.01275,-0.02428757,-0.0015
kcnj13,0.544458427,-0.725875,-0.712,0.57375,0.44755603,0.021166667,0.38,0.40475,-0.537616106,0.373375,0.576625,0.632,0.663,0.611208182,0.203,-0.581755617,-0.678214286,0.621071429,-0.548928571,-0.481893016,-0.459428571,-0.640857143,0.456928571,-0.62661756,0.535857143,0.562785714,0.310428571,0.197714286,-0.388588807,0.377571429,0.757114276,-0.53325,0.558416667,-0.68825,0.655361316,0.54325,-0.69825,0.01825,0.548154903,0.257166667,-0.73225,-0.652333333,-0.3515,-0.627955499,-0.427333333
kcnv1,-0.718574504,-0.268125,-0.459375,0.537625,0.462442533,0.6515,-0.5225,-0.669125,-0.669179588,-0.12375,-0.528625,0.62325,0.7255,-0.248995884,0.59625,0.346263238,-0.552428571,0.573571429,-0.519285714,-0.522480882,-0.499928571,-0.659428571,-0.481142857,0.341924052,0.380071429,0.0324,-0.630428571,0.519071429,0.347511901,-0.0298,-0.143113112,-0.478583333,0.502666667,-0.0245,-0.53517379,-0.637333333,-0.67025,-0.0315,-0.007853573,-0.0246,-0.439833333,-0.424416667,-0.348833333,-0.301636196,-0.308916667
kctd13,-0.738261187,0.67,0.771125,-0.562125,0.531092221,-0.4165,0.5395,0.599375,0.489644687,-0.02675,-0.624375,-0.46175,-0.748125,0.331734799,0.0168,-0.667468891,-0.691142857,-0.014285714,-0.497857143,-0.475166231,-0.431642857,0.482928571,0.578785714,-0.487046282,-0.678571429,-0.412428571,-0.437428571,0.519642857,-0.432503901,0.505,0.198986176,-0.553666667,0.260583333,-0.545416667,0.539991031,-0.447833333,0.582583333,0.583083333,0.415013467,0.029166667,0.024875,0.018777778,0.016,-0.315205739,0.5145
kif5c,0.273942661,0.01,0.37825,0.43225,0.290818626,0.469375,0.345375,0.4895,0.560077918,0.405,0.3295,0.503125,0.282125,0.344588362,0.564375,-0.641310146,-0.541785714,-0.563428571,-0.354642857,0.543071269,0.642285714,-0.520142857,0.632071429,0.571225218,0.615142857,-0.476571429,0.486642857,0.404428571,0.403351211,-0.421571429,0.234018741,-0.729083333,0.693416667,0.433416667,0.486785605,0.337416667,0.541,0.276916667,0.449052929,0.007,0.0228,0.021333333,0.51725,0.51988283,0.022285714
klc1,-0.475200823,-0.1005,0.248875,0.649,-0.503299869,-0.0188,-0.002333333,-0.27725,-0.516045149,-0.544625,0.23275,0.679625,-0.685625,-0.142857536,-0.00725,0.341174614,0.433428571,-0.361357143,-0.414928571,-0.442871869,0.441714286,0.332357143,-0.431,0.600102724,0.542928571,-0.608214286,0.572714286,-0.296214286,-0.468771123,0.344,0.426817663,0.770583333,-0.249,0.50975,0.422636331,0.237333333,0.4055,0.02675,0.350895255,-0.044,0.582416667,0.61725,0.428833333,0.528945437,-0.393916667
kmt2e,-0.005605175,-0.11875,-0.002833333,-0.003625,-0.258306328,-0.0104,-0.005,-0.108375,-0.068872947,-0.015857143,-0.0045,-0.002714286,-0.001142857,-0.000615608,-0.0035,0.002262453,0.005,0.001125,0.003666667,0.007034091,0.2715,-0.321642857,0.255714286,0.023411689,0.003833333,0.001875,0.0019,0.0038,0.002302329,0.006,0.00799343,-0.005,0.007714286,0.006166667,0.003609656,-0.454916667,0.013,-0.021375,-0.009723136,-0.406416667,0.018,0.00475,0.001571429,0.007718587,0.0138
lrriq3,0.192955842,0.347125,0.384375,0.174625,0.533814955,0.286375,0.01275,0.46325,0.356654225,0.336,0.595625,0.455875,-0.602375,-0.570433687,-0.636125,0.457081977,0.602142857,-0.409142857,-0.495071429,-0.586102859,0.430714286,0.5,0.325928571,0.618899517,-0.545142857,0.01625,-0.4005,0.382,0.446404953,0.494285714,0.601190775,0.58225,0.45225,0.418333333,0.601295541,0.340083333,-0.0275,-0.481666667,0.335202585,0.50025,-0.197083333,-0.37725,-0.344,0.382292976,0.266
lrrn3,-0.004110124,-0.015285714,-0.00425,-0.012625,-0.008591413,0.0024,-0.003125,0.0845,-0.309062625,0.008,-0.004571429,-0.008,-0.009,0.157711763,-0.0025,0.02693446,-0.0134,0.0175,0.0175,-0.254552022,-0.0088,-0.00125,-0.02325,-0.383426894,0.00925,0.0065,0.02525,0.02175,-0.363066557,-0.0306,-0.019944844,0.011625,-0.009875,0.0035,-0.036818447,-0.0085,-0.014714286,0.0065,-0.0055,-0.002125,-0.0042,0.03625,-0.023714286,0.032905655,0.001
luzp2,-0.26797968,0.35225,-0.218875,0.1505,0.499862505,-0.516625,0.48225,0.16675,-0.602880921,-0.294875,-0.02175,0.021,-0.6165,0.298684093,-0.570125,-0.301445184,-0.0059,-0.0264,-0.026,-0.409424777,-0.017375,-0.509428571,-0.467928571,-0.403973355,-0.00675,-0.02025,-0.411857143,-0.4285,0.490097319,0.541285714,-0.382184827,0.54175,0.314666667,-0.412166667,-0.656564597,-0.30675,-0.374666667,-0.22675,0.229410065,-0.2665,0.485666667,-0.380666667,0.401083333,-0.017225279,0.295833333
mad1l1,-0.105384714,-0.0075,-0.01925,-0.070875,-0.346345537,-0.266875,-0.198625,-0.172625,-0.28204474,-0.1295,-0.15375,-0.093625,-0.09275,-0.389716303,0.355625,-0.421355459,0.364214286,0.470642857,0.013,-0.486135098,-0.311928571,0.398785714,0.370142857,0.489187576,-0.3145,0.316214286,-0.04125,-0.0146,-0.278633881,-0.365357143,0.225334023,0.33275,0.384333333,-0.50675,-0.460794477,0.0275,-0.316416667,-0.216583333,-0.377435178,0.013833333,0.31025,0.011888889,0.320916667,-0.330263005,0.014142857
man2a1,-0.730608944,-0.190125,-0.124125,-0.5285,-0.018970185,0.245,0.01325,0.38025,-0.589171655,-0.19125,0.79125,-0.022333333,-0.22425,-0.537195134,0.064625,0.435852666,0.476928571,0.492642857,-0.409,-0.451776596,-0.385214286,0.419,-0.347071429,-0.5180925,-0.655714286,-0.496785714,0.471071429,0.373285714,0.50358479,-0.501714286,-0.517667948,0.484833333,0.39825,0.364833333,0.730462871,-0.595333333,0.30875,0.001666667,0.496678405,0.456916667,-0.6175,-0.271833333,-0.00975,-0.022963891,-0.0235
man2a2,-0.088714803,-0.0104,-0.07925,0.194125,0.232169708,0.335,0.205,-0.48125,-0.475742261,-0.006142857,-0.014857143,-0.0386,-0.114,0.016896722,-0.238375,0.008037708,0.004111111,0.006,0.003875,0.011701121,0.365428571,-0.0142,0.298928571,0.006920902,0.021714286,0.011307692,0.012625,0.009125,0.011693108,0.012333333,-0.010256224,-0.008666667,-0.019333333,-0.004,-0.339610514,0.2525,-0.01,-0.01025,-0.206361082,-0.007363636,-0.262833333,-0.319916667,0.457166667,0.02325,0.002888889
mbd5,0.460626768,-0.71975,0.667375,0.095,-0.466151277,0.537,0.3825,-0.597125,-0.350978861,0.70075,0.487,0.518625,0.239375,0.488507299,0.5785,-0.454161929,0.019,-0.524,-0.301214286,-0.392026931,0.494,-0.467285714,0.476214286,-0.545066422,-0.465214286,-0.577142857,0.428071429,-0.278428571,-0.528187602,-0.486714286,0.348271331,-0.013,0.425666667,-0.535,-0.439889996,-0.32225,-0.459916667,-0.377333333,0.441099196,0.290083333,0.260666667,0.27925,0.432083333,0.502437389,0.540083333
mdk,0.238546892,-0.443875,-0.630625,0.1205,-0.548500119,0.378,-0.397125,-0.37775,0.411554114,-0.007166667,-0.0085,0.003285714,-0.0895,-0.372401648,-0.444625,0.011550401,0.0175,-0.437857143,0.024,-0.407633845,-0.227642857,0.0335,-0.2295,0.029717095,0.013,0.007428571,-0.01,-0.299714286,-0.412353403,-0.304,-0.251522103,0.320083333,-0.026,-0.01375,-0.469921119,-0.24875,-0.397416667,-0.328666667,0.451951989,-0.013857143,-0.268583333,-0.51,0.015125,0.630325451,0.3235
mir137,0.471454404,0.5955,0.1685,0.691875,0.385191655,0.483375,-0.029142857,-0.319375,-0.486076978,0.55875,0.19075,0.575375,-0.44925,0.0025,-0.372625,0.02463493,0.009857143,0.261357143,0.00225,0.473423151,-0.520785714,-0.671142857,-0.5005,0.549697705,0.019857143,0.496571429,0.501428571,0.280071429,0.491826571,0.210714286,-0.012820371,0.668,-0.009,-0.5315,-0.239620623,0.03075,-0.009333333,-0.286333333,0.366278764,-0.011333333,-0.00925,-0.01925,-0.346916667,-0.229394494,-0.017222222
mmp16,0.153799205,0.018,0.0162,-0.0168,-0.41695507,0.330125,0.0154,0.2495,0.346932063,-0.314625,-0.031,-0.201375,0.30775,0.469506532,-0.112,0.24370625,-0.311928571,0.0295,0.0025,-0.315418795,0.307857143,0.397857143,-0.302071429,-0.03473753,0.295428571,0.340357143,0.362285714,0.006888889,0.396656327,0.019333333,-0.014877558,-0.006857143,-0.0315,-0.019,-0.206570271,-0.452583333,-0.01225,0.001,0.025679936,-0.023,-0.009666667,-0.0065,-0.007142857,-0.017362587,0.001833333
nab2,0.306485209,0.170875,0.51075,0.454375,-0.536274595,0.11775,-0.355625,0.608125,-0.500881905,0.0925,0.57325,0.442625,-0.3755,0.018662463,-0.468625,-0.598145541,-0.359142857,0.442714286,0.292642857,-0.448170569,-0.016,-0.452142857,-0.515142857,-0.386158653,-0.548142857,0.590214286,0.382928571,0.039,0.479366387,0.293928571,-0.230216064,-0.504083333,-0.02125,-0.00675,-0.618382059,-0.276583333,0.019,0.625,-0.327880913,-0.392166667,-0.0115,-0.023,-0.187416667,-0.034221084,-0.323083333
ncan,0.373180647,0.3895,0.368,0.326375,0.31490064,0.42925,0.396,0.0245,0.363316278,0.1355,-0.174125,0.145875,-0.011142857,0.373553861,0.53725,-0.335896644,-0.338785714,-0.025857143,-0.019,0.484791278,0.245714286,-0.310357143,-0.432642857,-0.517672438,-0.226214286,0.327357143,-0.544857143,-0.014,-0.442434151,0.462071429,0.279730581,0.607083333,0.28,0.017,-0.261028832,-0.374916667,-0.446,0.379166667,0.418144287,0.501833333,0.360083333,0.0295,0.317583333,0.010331102,-0.308333333
nck1,-0.10553886,-0.41725,-0.250875,-0.199125,-0.430442404,-0.244375,-0.011,-0.287125,-0.093829354,-0.272875,-0.183375,-0.15275,-0.378375,-0.468664937,-0.179625,-0.384180277,-0.571642857,0.525857143,-0.401571429,0.273901973,-0.377571429,-0.468642857,-0.396142857,0.411761622,0.647857143,0.435642857,0.507,0.260642857,0.458571881,-0.0075,-0.451818675,0.704,-0.191333333,-0.021166667,-0.372994465,0.006444444,0.0405,-0.013125,0.42590793,-0.002833333,-0.41375,-0.365,-0.011111111,-0.460760847,-0.006375
negr1,-0.203746326,-0.64625,-0.62275,-0.564625,-0.574121676,0.5205,-0.31375,-0.51675,-0.465446252,-0.438125,-0.31725,-0.580625,0.56625,-0.338965406,-0.365875,-0.612954747,-0.5505,0.473785714,0.628785714,0.585434028,0.552571429,0.375571429,0.786928571,0.610171679,-0.598785714,-0.495214286,-0.251571429,0.506071429,0.594730934,-0.396285714,0.468184664,-0.373833333,0.476416667,0.42925,0.496745978,-0.687666667,-0.406833333,-0.430416667,-0.428752925,-0.542166667,-0.679,-0.5665,0.512166667,0.453886054,0.6165
nfkb1,-0.763816587,0.5215,0.665875,-0.1325,-0.360911421,0.43175,-0.1985,-0.550125,0.354753778,0.258,-0.219125,-0.2175,-0.3345,-0.101156236,-0.440625,-0.443323599,-0.3865,-0.439857143,-0.518857143,-0.408332226,-0.408285714,-0.402,-0.011666667,-0.346708079,-0.481285714,-0.454642857,-0.470214286,-0.570214286,0.328548588,-0.458285714,0.44487661,0.680166667,-0.590083333,0.46675,0.573832879,-0.60725,0.367166667,-0.465916667,-0.490654137,-0.3755,0.524583333,-0.63025,0.499166667,-0.258362833,-0.014
ngef,0.631983808,0.40575,0.78625,-0.309875,0.385047903,0.518375,-0.6035,0.504125,-0.586546317,0.7385,0.681625,0.0075,0.705625,-0.586439515,-0.6645,-0.833153474,-0.5605,0.580357143,0.636214286,-0.481884671,-0.481142857,-0.438714286,-0.423,0.583171063,0.602142857,-0.707642857,-0.5275,0.543428571,-0.514795989,0.6455,0.849352788,0.601,0.692333333,-0.750083333,0.632079186,0.587833333,-0.570166667,0.632083333,-0.589591422,0.70525,-0.676916667,-0.524333333,-0.576166667,0.585450111,0.394083333
nrgn,-0.677087747,0.423,0.719625,-0.49975,0.254992399,0.578875,-0.423375,0.6465,0.589855701,-0.53325,-0.39975,-0.241875,0.40325,-0.472110494,0.39475,-0.350464118,-0.401928571,-0.311,0.2875,0.401065275,-0.38,0.282785714,0.406857143,-0.479529264,0.272642857,0.392857143,0.280571429,-0.02,0.384573841,-0.329142857,0.410599904,0.290666667,-0.477,-0.397,-0.279338931,0.318416667,0.0238,0.354916667,0.433455894,0.405833333,-0.483583333,0.00675,-0.005,0.0375,-0.013625
ntm,-0.091619565,-0.176375,0.351,-0.578875,-0.345133266,0.454625,-0.0275,0.024,-0.408858661,-0.08175,0.10925,-0.18925,-0.01825,-0.017603772,0.012,-0.015256849,-0.014375,-0.250857143,-0.024,-0.360200984,-0.0235,0.014166667,-0.01675,0.274936495,0.406357143,-0.009666667,-0.013571429,-0.01725,0.027517293,-0.01125,0.267514599,0.248333333,0.264583333,0.04125,0.269409128,-0.217333333,0.006,0.36425,-0.318195024,0.003625,0.02,-0.237333333,-0.0025,0.018,0.01
